num name Uj_Vj Bj_Vj Bj_VjA Rj_Vj SQM_Vj SQM_VjA m_Bn m_Gn m_Rn i_sli i_msi i_ipi Bn_Vj Gn_Vj Rn_Vj m_VIIRS m_photo m_scoto m_photoA m_scotoA m_SQM m_SQMA m_Halpha m_Hbeta m_Vj m_VjA wave
12 CFL_PAR38_domestic_use_softwhite_color_ELume_brand_23W_55_ nan 1.24302812515 1.98372092499 8.44463798131e+14 0.494046072049 0.57992305193 -16.3805493644 -17.3896430248 -18.2376918831 0.477843002967 0.418588509162 0.669172525136 1.25833102658 0.249237366219 -0.598811492064 -17.317107541 -17.7961752456 -16.8568054308 -21.2699324501 -20.046937673 -17.144834319 -20.4884708907 -16.3397903842 -16.1364471764 -17.638880391 -21.0683939427 5587.01451789
13 CFL_R20_domestic_use_softwhite_color_Sylvania_brand_14W_120V_2700K_ nan 1.63977599814 2.4024386798 2.67408037117e+98 0.667450377418 0.726581690434 -15.9223777454 -17.446322613 -18.0662496288 0.423298534198 0.326729149542 0.527662126363 1.77187750054 0.247932632946 -0.371994382857 -17.1547929259 -17.7959419402 -16.7254412479 -21.2525065659 -19.981578716 -17.0268048685 -20.3814511435 nan -11.5423611277 -17.6942552459 -21.1080328339 5571.60305763
14 CFL_R30_dim_domestic_use_softwhite_color_EnerSaver_Globe_brand_13W_2700K_ nan 2.1816400938 2.83783229035 7.09528676889e-71 0.668038515042 0.681189580333 -15.6345833128 -17.3634238716 -18.2406427507 0.401650008613 0.206102500004 0.527931799846 2.00796306011 0.279122501319 -0.598096377751 -17.2536937868 -17.7961094282 -16.6682643136 -21.2752783022 -19.9225000357 -16.9745078579 -20.394368476 -14.9488720168 -15.628170822 -17.6425463729 -21.0755580564 5736.14653212
15 CFL_R30_dim_domestic_use_softwhite_color_EnerSaver_Globe_brand_15W_46_ nan 1.82275988074 2.5331424403 1.3561720499e+248 0.675004998068 0.719883692289 -15.8914156918 -17.4459047174 -18.094968815 0.4342322911 0.280155774687 0.513827948275 1.79146710892 0.236978083329 -0.412086014193 -17.1493044947 -17.7959878301 -16.7529997658 -21.2545468531 -20.0027586467 -17.0078778027 -20.3791385042 nan -15.0021121283 -17.6828828008 -21.0990221965 5617.32537089
16 CFL_R30_domestic_use_softwhite_color_EnerSaver_Globe_brand_15W_120V_41_ nan 1.51840034449 2.23248492191 -3.15494826661e+70 0.568938782049 0.630448385564 -16.2129023593 -17.3956831779 -18.2107768159 0.455182681083 0.34104254622 0.605671994965 1.43606109313 0.253280274553 -0.561813363497 -17.2676622905 -17.7961365998 -16.8040907947 -21.2676680372 -20.0161143522 -17.0800246704 -20.4457727955 -15.8470266936 -15.8467185106 -17.6489634524 -21.0762211811 5626.7853591
17 CFL_TwisterT2_domestic_use_softwhite_color_Elume_brand_23W_69_ nan 1.47059105266 2.19900861187 3.68215286407e+180 0.5622734312 0.627558973811 -16.1769507666 -17.4064167938 -18.1912764595 0.457729486781 0.354279054661 0.61368866357 1.47601745818 0.246551431017 -0.538308234653 -17.2789578951 -17.7961133336 -16.8101526138 -21.2655698093 -20.0241054961 -17.0906947936 -20.4508867763 -16.1073985282 -15.889796629 -17.6529682248 -21.0784457502 5615.82102814
18 CFL_Twister_dim_domestic_use_softwhite_color_EnerSaver_Globe_brand_23W_120V_69_ nan 1.5224890545 2.21368418357 8.88777503383e+252 0.577238771137 0.638345846109 -16.2612761083 -17.4341962713 -18.1606451111 0.481365768425 0.349033044105 0.601147200176 1.404114546 0.231194382969 -0.495254456824 -17.2564998152 -17.7961156017 -16.8647118116 -21.2596010152 -20.0723406786 -17.0881518831 -20.4463387828 -15.9761593368 -15.9875656826 -17.6653906543 -21.0846846289 5614.73906069
19 CFL_Twister_dim_domestic_use_softwhite_color_Sylvania_brand_23W_120V_2700K_ nan 1.74655498732 2.45956518685 4.27055767252e+216 0.622932327089 0.665488461937 -15.9318105276 -17.4057854918 -18.1751650095 0.431898702569 0.286234920203 0.566561595285 1.7257473974 0.251772433203 -0.517607084466 -17.2534766792 -17.7960869176 -16.7471300793 -21.2654874423 -19.9843278734 -17.0346255979 -20.4172973779 -15.8422517759 -15.6583260118 -17.657557925 -21.0827858398 5659.0184634
20 CFL_Twister_domestic_use_coolwhite_color_EnerSaver_Globe_brand_13W_120V_69_ nan 1.07749490711 1.71615484844 7.49096152806e+247 0.48153198795 0.591829389366 -16.8777100877 -17.5743082203 -17.9933658888 0.653369923707 0.541357844507 0.670729802952 0.836690945053 0.140092812473 -0.278964855963 -17.2059391345 -17.7961194339 -17.1961074661 -21.2266334661 -20.3472991675 -17.2328690448 -20.5130985678 -16.0711464485 -16.6009659878 -17.7144010328 -21.1049279572 5457.57674966
21 CFL_Twister_domestic_use_coolwhite_color_EnergyStar_brand_15W_63_ nan 1.22980032895 1.84417917701 3.78576699573e-270 0.531235008054 0.625451933322 -16.7687782465 -17.5823673924 -17.9714425703 0.646165810227 0.486923242291 0.63243015471 0.957123083201 0.143533937367 -0.245541240538 -17.1754112113 -17.7960958136 -17.1840015833 -21.2244075561 -20.3460269391 -17.1946663217 -20.4871448303 -15.8622791129 -16.6196341717 -17.7259013297 -21.1125967637 5481.47706306
22 CFL_Twister_domestic_use_coolwhite_color_GE_brand_26W_65_ nan 1.17216312991 1.78818472282 1.99818148746e-306 0.507221883625 0.604950028249 -16.8244940883 -17.5730803461 -18.0092981439 0.656158048579 0.508273702773 0.655537735265 0.896025766066 0.147439508306 -0.288778289477 -17.2020687802 -17.7961286317 -17.2006328935 -21.2274554548 -20.3548316366 -17.2132979708 -20.5036855018 -16.0097501211 -16.7082258132 -17.7205198544 -21.10863553 5483.68054288
23 CFL_Twister_domestic_use_daylight_color_EnerSaver_Globe_brand_13W_120V_67_ 3.48003037759 0.898379262909 1.52360857834 3.51087668637e+151 0.440313314976 0.57502639029 -17.0927917588 -17.6340502156 -17.907881723 0.735119779567 0.646101798996 0.706137162861 0.646615566442 0.105357109621 -0.168474397736 -17.1576227928 -17.7961033733 -17.3239995663 -21.2102967872 -20.4561887599 -17.2990940103 -20.5409292714 -15.9314831897 -16.8038539952 -17.7394073253 -21.1159556617 5370.23191626
24 CFL_Twister_domestic_use_daylight_color_EnerSaver_Globe_brand_23W_120V_69_ nan 1.98195570217 2.59471263514 1.47017442535e-85 0.779942715467 0.826670595281 -16.0152566236 -17.643621509 -17.6449537566 0.527272997377 0.282820026836 0.429827092196 1.76116832653 0.132803441168 0.131471193582 -16.9724862373 -17.7957702926 -16.9635355902 -21.2026022078 -20.2155292582 -16.9964822347 -20.3252530471 -8.73161349792 -15.100416179 -17.7764249501 -21.1519236423 5513.13741709
25 CFL_Twister_domestic_use_daylight_color_EnerSaver_Globe_brand_9W_120V_61_ -1.99189381127 0.882633514845 1.50210535239 3.1111058608e+175 0.430402905507 0.566759103211 -17.134873705 -17.6457440654 -17.9078348086 0.751149345798 0.654890902182 0.715832342192 0.605875524627 0.0950051642791 -0.167085578918 -17.1650231197 -17.7961132401 -17.3473869019 -21.2085230406 -20.4760671124 -17.3103463241 -20.5491351375 -16.1221080925 -16.8386728013 -17.7407492296 -21.1158942407 5374.47347176
26 CFL_Twister_domestic_use_softwhite_color_EnergyStar_brand_20W_62_ nan 1.79059284431 2.47875424405 4.0997565565e+93 0.61559866114 0.651121852039 -15.9603532206 -17.4047374707 -18.1940866576 0.442189989823 0.279470213797 0.57916184633 1.69580874281 0.251424492723 -0.53792469417 -17.2944923147 -17.7961247136 -16.7726023868 -21.2670261051 -20.0036840891 -17.0405633023 -20.4304302795 -16.1855426614 -15.8634294434 -17.6561619635 -21.0815521316 5689.0986782
27 CFL_Twister_domestic_use_white_color_GE_brand_13W_120V_ nan 1.69372327131 2.39975971536 1.6136294323e+184 0.615248705571 0.661695332756 -15.9939493193 -17.4171473864 -18.1578971454 0.447434426967 0.300478425736 0.570609494957 1.66837563797 0.245177570842 -0.495572188135 -17.2498063297 -17.7961047299 -16.7854583485 -21.2624592384 -20.0159752845 -17.0470762517 -20.4231852099 -15.594046027 -15.7556461498 -17.6623249572 -21.0848805427 5643.41772279
28 CMH_Ceramic_Metal_Halide_2743K_SFH_1_Mayo nan 1.57469498133 2.24307552417 0.0 0.464881478224 0.439870470067 -17.1569663938 -18.229124494 -19.2221508537 0.450116643195 0.331535929228 0.753351092187 1.35708033429 0.284922234108 -0.708104125539 -18.7032431935 -18.6874877794 -17.6876934993 -22.177185979 -20.8778428184 -18.0491652499 -21.5122441283 -18.8088257413 -17.0990392334 -18.5140467281 -21.9521145984 5841.80568054
29 CMH_Ceramic_Metal_Halide_2993K_SFH_Panos_H 3.01436231891 1.60668693766 2.23874377602 0.0 0.473415733469 0.433314426802 -17.4128938928 -18.510715321 -19.3677729397 0.48893862176 0.3398273029 0.75278906874 1.34995286082 0.252131432631 -0.60492618612 -18.9631882796 -18.908639942 -17.9974210559 -22.3877551273 -21.1842991793 -18.2894310201 -21.7544271671 -19.1174598292 -17.5873063454 -18.7628467536 -22.1877415939 5848.36714109
30 CMH_Ceramic_Metal_Halide_3003K_SFH_Panos_L 4.65225598899 1.55491663773 2.20590696908 0.0 0.490639754628 0.473351476892 -17.2973303881 -18.3933461517 -19.2615690623 0.487220320662 0.351352611632 0.720992585216 1.35114606141 0.255130297799 -0.61309261279 -18.7448286386 -18.7920232551 -17.8726357348 -22.2682446013 -21.0616454186 -18.1578366949 -21.5992410537 -18.8168805749 -17.3793939349 -18.6484764495 -22.0725925305 5803.67062937
31 CMH_Ceramic_Metal_Halide_3114K_SFH_Police 2.97804605573 1.6168793058 2.23640798225 0.0 0.488086733201 0.454153887172 -17.5734665843 -18.6796471979 -19.4742247771 0.507248190737 0.341928253859 0.744840268129 1.34375223732 0.237571623725 -0.557005955457 -19.0681322926 -19.0522395815 -18.1730295947 -22.5265811367 -21.3598404903 -18.4291320884 -21.8827058269 -19.2487670843 -17.8117373503 -18.9172188216 -22.3368597141 5841.57580302
32 CMH_Ceramic_Metal_Halide_3311K_SFH_Eugenia 5.17597487188 1.60276682875 2.17379762813 0.0 0.458355897307 0.395250217564 -18.0805843328 -19.0950258782 -19.823375942 0.558338475418 0.358370520842 0.797143922441 1.23128808917 0.216846543781 -0.511503520002 -19.580793107 -19.4269259097 -18.6533573661 -22.8942953212 -21.8263269667 -18.8535165247 -22.3266453747 -19.8849333412 -18.4875821277 -19.311872422 -22.7218955923 5874.57494173
33 CMH_Ceramic_Metal_Halide_5312K_SFH_Saramago 2.73678823551 0.864269858407 1.45166540012 0.0 0.404532880641 0.476400897602 -17.7798955278 -18.3752507031 -18.4368268359 0.839935736485 0.733318403141 0.815371160985 0.6758706751 0.0805154998284 0.018939367055 -18.2549529706 -18.4490815189 -18.1169117185 -21.8432641446 -21.2448647625 -18.0512333223 -21.3276682757 -18.3537810108 -17.955491459 -18.4557662029 -21.8040691733 5486.91934175
34 CMH_Ceramic_Metal_Halide_5976K_SFH_P_General 1.70454670063 0.510242543855 1.10633454612 0.0 0.259491534486 0.375739694893 -17.9955948461 -18.297850166 -18.3412873264 0.982299634108 0.972309611685 0.958985325661 0.347109551531 0.0448542316887 0.00141707122591 -18.1734356119 -18.3285586302 -18.1746248021 -21.7114057226 -21.2686238856 -18.0832128632 -21.3046936795 -18.3896902165 -18.1131282298 -18.3427043977 -21.6804333744 5407.79879567
35 FL_Fluorescent_Lamp_4152K_SFH_Huerta nan 1.21866657278 1.8708151635 0.0 0.541356593832 0.674184882968 -16.5218412935 -17.3938335538 -17.7363273538 0.614612941177 0.539041820098 0.66308279065 1.00457624234 0.132583982004 -0.209909818001 -16.9177335692 -17.6157294009 -16.9319855927 -21.045584942 -20.105574863 -16.985060942 -20.2473939232 -15.7366143818 -16.197451336 -17.5264175358 -20.9215788061 5485.63505304
36 FL_Fluorescent_Lamp_5197K_F_Farmacia 6.91520978336 0.863127581222 1.44519601909 0.0 0.429802700128 0.574579122658 -17.8287886549 -18.3179024823 -18.3833440422 0.817129142414 0.732441504611 0.738138002245 0.561148120928 0.0720342935403 0.00659273365867 -17.7458560721 -18.4283465623 -18.0576256591 -21.8282526751 -21.168661467 -17.9601340757 -21.1774001467 -17.1784911564 -17.9524775265 -18.3899367758 -21.7519792694 5349.60730449
37 FL_T8G13_domestic_use_coolwhite_color_GE_brand_32W_4000K_ nan 1.35020297703 1.9652805446 0.0 0.558976666114 0.642791172658 -16.6620691341 -17.5620334412 -17.9857326062 0.607593814537 0.434676060732 0.606078907471 1.05244884465 0.152484537516 -0.271214627407 -17.1633985503 -17.796083654 -17.1172465584 -21.2294661373 -20.2909553146 -17.1555413126 -20.4645304624 -15.7616390358 -16.4527321 -17.7145179787 -21.1073216351 5516.50124008
38 HPS_Helios_streetlight_use_warmwhite_color_Philipps_brand_100W_2010K_ -0.799934512803 2.76204250296 3.45114732677 0.0 0.614730264385 0.621800165653 -15.149380955 -17.1066487495 -18.3878357598 0.230765366588 0.118205076609 0.509164962257 2.34470337978 0.38743558533 -0.893751424937 -17.2712036677 -17.796071576 -16.0681915816 -21.3177510798 -19.3717888048 -16.8793540704 -20.3700246227 -16.756954956 -15.368782339 -17.4940843348 -20.9918247883 5883.93378597
39 HPS_High_Pressure_Sodium_1859K_SFH_Toledo 8.00576882238 2.57042118257 3.25733923822 0.0 0.478533505312 0.425832776051 -15.7623032087 -17.3803731438 -18.9268780044 0.225817980487 0.123620560924 0.600248818054 2.08637435225 0.468304417203 -1.07820044343 -18.1460870069 -18.1927654073 -16.4361059057 -21.7354303161 -19.7058790621 -17.3701440557 -20.940851686 -17.842846999 -15.8556185058 -17.848677561 -21.366684462 5972.53388396
40 HPS_High_Pressure_Sodium_2025K_SFH_Alix 8.40123054808 2.7375964771 3.42742523403 0.0 0.559941019216 0.542220190032 -15.3880847465 -17.2508172057 -18.6377297377 0.221405464803 0.117214346637 0.515292638984 2.27753535986 0.414802900707 -0.972109631369 -17.7115713437 -17.9914532149 -16.2093905423 -21.5202179076 -19.5078334817 -17.1056790872 -20.6314661237 -17.0068216599 -15.5095067933 -17.6656201064 -21.1736863138 5902.5461207
41 HPS_High_Pressure_Sodium_2133K_F_Fisicas 7.27679572014 2.9399897878 3.60495136966 0.0 0.582015145733 0.54871794857 -15.4951012741 -17.5636250707 -18.8281027299 0.225419668229 0.102488512612 0.504726726429 2.45328737461 0.384763578017 -0.879714081141 -18.012904139 -18.2562007503 -16.4957067106 -21.7790028449 -19.8097314893 -17.366373503 -20.9000265131 -17.4131039127 -15.7586348924 -17.9483886487 -21.4487444617 5919.43147313
42 HPS_High_Pressure_Sodium_2447K_Paraninfo_UCM 4.20830140177 2.08220982853 2.73589229128 0.0 0.486096077467 0.432992855952 -16.7433603952 -18.1239298147 -19.1848033839 0.337186532528 0.206732534265 0.59409025768 1.69335627187 0.31278685237 -0.748086716742 -18.6901704456 -18.688792261 -17.3736909377 -22.1930917367 -20.5999118964 -17.9506205896 -21.4751805332 -18.3325049613 -17.0799058633 -18.4367166671 -21.9081733892 5865.0429822
43 Halo_A19_domestic_use_CrystaldaylightPlus_color_Sylvania_brand_60W_120V_16Lum_ 2.37940607974 1.76748828987 2.32807766025 0.0 0.482661702696 0.438176665908 -16.2856711003 -17.4623465972 -18.1705788464 0.535346353352 0.324237569953 0.9131778757 1.39936732501 0.222691828107 -0.485540421116 -17.965631009 -17.7963239407 -16.9796074278 -21.2669439904 -20.1652405607 -17.2023767226 -20.6608277833 -18.6990508829 -16.9703004193 -17.6850384253 -21.0990044492 5975.74778134
44 Halo_A19_domestic_use_softwhite_color_Enersaver_Globe_brand_29W_120V_11_ 2.46995070434 1.87365972322 2.41014970113 0.0 0.498307589784 0.4447788588 -16.230217571 -17.4585339606 -18.1720156793 0.526953724559 0.298887322476 0.903740886913 1.45455217807 0.226235788391 -0.487245930275 -17.9678714247 -17.7963242838 -16.962448234 -21.2678127904 -20.1525638457 -17.1864621592 -20.6545853654 -18.6996360053 -16.9572124774 -17.684769749 -21.0993642242 5990.67730603
45 Halo_A19_domestic_use_softwhite_color_Enersaver_Globe_brand_72W_120V_16_ 0.606916369144 1.76033409787 2.32271203474 0.0 0.47658773158 0.429185342046 -16.2910074296 -17.4626477795 -18.1718991977 0.536010263959 0.325586522977 0.924322751432 1.39443670345 0.222796353567 -0.486455064616 -17.9901818782 -17.7963321772 -16.9809488456 -21.2671317558 -20.1662249953 -17.2088564015 -20.6704714768 -18.7228271573 -16.9735828088 -17.6854441331 -21.0996568189 5980.22253372
46 Halo_A19_trilight_domestic_use_softwhite_color_Enersaver_Globe_brand_29W_120V_11_ 0.299477359698 1.78430962648 2.33616939166 0.0 0.484636138501 0.436817009991 -16.2932442526 -17.4648788439 -18.1683199795 0.53731047089 0.318621319331 0.9138516436 1.39324160018 0.221607008824 -0.481834126781 -17.9738073281 -17.7963241634 -16.9835769066 -21.2664540196 -20.1688653595 -17.2018497143 -20.6631320631 -18.7014396441 -16.9759850423 -17.6864858528 -21.0999490731 5976.41942549
47 Halo_BR25_domestic_use_softwhite_color_Enersaver_Globe_brand_53W_120V_14_ nan 1.58413332268 2.14083399004 0.0 0.449339806932 0.411119663553 -16.4852963878 -17.5039324269 -18.1418139573 0.594471398115 0.381706317712 0.961835684729 1.21974108681 0.2011050477 -0.436776482646 -18.0097226774 -17.7963627395 -17.0932260553 -21.2584122133 -20.2614767549 -17.2556976677 -20.69776258 -18.7590691916 -17.1333161382 -17.7050374746 -21.1088822435 5949.698399
48 Halo_BR30_domestic_use_softwhite_color_Enersaver_Globe_brand_43W_120V_11_ nan 1.7754687418 2.33489670536 0.0 0.481544261937 0.435287478729 -16.279011047 -17.4602495231 -18.1749024963 0.534188433151 0.322404842165 0.919041092538 1.4055515333 0.224313057263 -0.490339915974 -17.9746339783 -17.7963362669 -16.9772562385 -21.2676324468 -20.1631765405 -17.2030183184 -20.6636438109 -18.715699521 -16.9707859206 -17.6845625803 -21.0989312897 5981.51643845
49 Halo_BR38_domestic_use_softwhite_color_Enersaver_Globe_brand_65W_120V_15_ nan 1.67738450217 2.24120430696 0.0 0.481078165998 0.447884223239 -16.368903325 -17.4825469358 -18.1464322777 0.558120807835 0.350654533964 0.90055554156 1.32484278842 0.211199177699 -0.452686164228 -17.9257719763 -17.7963182223 -17.0248123848 -21.2616682236 -20.2039483344 -17.2126679475 -20.654576427 -18.6398349888 -17.0253208853 -17.6937461135 -21.1024606502 5941.97302021
50 Halo_BR38_domestic_use_softwhite_color_Enersaver_Globe_brand_89W_120V_19_ nan 1.66372711872 2.22779920171 0.0 0.482557934289 0.452077449428 -16.3829399553 -17.4881185935 -18.1389271709 0.562646162435 0.35482981654 0.894064713121 1.31300213388 0.207823495688 -0.442985081712 -17.9125384652 -17.7963101484 -17.0335754575 -21.2602675498 -20.2119035847 -17.2133841549 -20.6512658383 -18.6200486476 -17.036143463 -17.6959420892 -21.1033432877 5933.70893034
51 Halo_BR40_domestic_use_softwhite_color_Enersaver_Globe_brand_65W_120V_14_ nan 1.70003931393 2.26372118401 0.0 0.480682241242 0.444043104842 -16.347559518 -17.4774812285 -18.1528107138 0.551923251637 0.343454092388 0.905151153683 1.34393825645 0.214016545919 -0.461312939376 -17.9402475471 -17.7963219319 -17.0126963486 -21.2630946939 -20.1936188375 -17.2108155332 -20.6576041503 -18.6591129263 -17.0101307662 -17.6914977744 -21.1016472552 5951.96286481
52 Halo_Fan_domestic_use_softwhite_color_Enersaver_Globe_brand_29W_120V_11_ nan 1.92501480727 2.46722593184 0.0 0.484301209151 0.420221301886 -16.1678216763 -17.4341272149 -18.2035457018 0.506615004096 0.284611088899 0.939088822158 1.50607193326 0.239766394615 -0.529652092304 -18.0332587259 -17.7963490455 -16.9197489365 -21.2741763973 -20.1140805886 -17.1895924004 -20.6747674243 -18.7942349176 -16.8976066176 -17.6738936095 -21.0949887262 6026.24694368
53 Halo_PAR20_domestic_use_softwhite_color_Globe_brand_50W_120V_9Lum_2729K_ 2.36114535808 1.84916038504 2.40396625757 0.0 0.481736087416 0.425795214784 -16.2132612413 -17.4459774988 -18.1917422992 0.518459666339 0.303534555002 0.932766563004 1.465847095 0.233130837506 -0.512633962902 -18.0110338206 -17.796344262 -16.9448291101 -21.2713608654 -20.1357620053 -17.1973722489 -20.6713166488 -18.7667095037 -16.9325320312 -17.6791083363 -21.0971118636 6007.92396745
54 Halo_PAR30Accubeam_domestic_use_softwhite_color_Standard_brand_75W_130V_5000H_ 2.39009925454 1.87226094838 2.42642491656 0.0 0.482975678919 0.425586163696 -16.1923462099 -17.4400784824 -18.1973521485 0.512234231713 0.297357653986 0.931292125123 1.48376378566 0.236031513107 -0.521242152909 -18.0126495416 -17.7963444214 -16.9317223661 -21.2726563142 -20.1243420285 -17.1931343166 -20.6700446116 -18.7678257805 -16.9132922159 -17.6761099956 -21.0956307753 6012.87560926
55 Halo_PAR30Flood_domestic_use_softwhite_color_Standard_brand_75W_130V_3000K_ 3.43127728195 1.8348381861 2.39005874798 0.0 0.483141180731 0.430021004564 -16.2273948915 -17.4491974996 -18.1872322294 0.521735407418 0.307123626805 0.92643500142 1.45267705086 0.230874442798 -0.507160286962 -17.9971343722 -17.7963390714 -16.951663263 -21.2704598427 -20.1415414015 -17.1969307617 -20.6672420294 -18.7488588377 -16.940047641 -17.6800719424 -21.097263034 6000.97669595
